customer_id,customer_name,email,region,segment,signup_date,churned,lifetime_value
CUST_0001,Sherri Whitaker,jallen@example.net,North,Enterprise,2023-10-28,0,1711.0
CUST_0002,Daniel Curtis,annmoreno@example.org,North,SMB,2024-03-15,1,1303.42
CUST_0003,Nicholas Lee,jbridges@example.net,East,SMB,2023-10-30,0,2451.34
CUST_0004,Kayla Kidd,myerskristina@example.com,South,SMB,2024-04-03,0,587.35
CUST_0005,Mr. Samuel Santos MD,christopherperez@example.net,South,Enterprise,2023-12-13,1,4662.3
CUST_0006,Alice Hunt,cburton@example.com,South,SMB,2025-03-13,0,3681.98
CUST_0007,Christopher Monroe,elizabethbell@example.net,North,SMB,2025-10-19,0,928.21
CUST_0008,Lindsay Huffman,tom82@example.com,North,SMB,2023-09-08,1,1532.35
CUST_0009,Michael Lee,william16@example.com,West,SMB,2023-07-29,1,1359.75
CUST_0010,Heidi Burton,bscott@example.org,North,SMB,2024-11-04,0,893.12
CUST_0011,Shawn Hill,patriciavega@example.org,North,SMB,2024-02-23,0,2189.6
CUST_0012,Rachael Reeves,osborneshannon@example.org,North,SMB,2024-03-04,0,3672.89
CUST_0013,Paul Jensen,christinaanderson@example.org,South,Enterprise,2025-11-13,0,1871.01
CUST_0014,Bruce Baker,llowe@example.org,South,SMB,2023-11-23,0,3848.95
CUST_0015,Robert Wood,kbrewer@example.com,North,Enterprise,2025-05-05,0,1515.01
CUST_0016,Natasha Phillips,charlenediaz@example.org,South,Consumer,2025-11-11,0,4989.64
CUST_0017,Keith Carr,robertssandra@example.net,West,Consumer,2025-08-06,0,3488.63
CUST_0018,Dr. Amber Conley,edwin43@example.net,South,Enterprise,2024-09-07,1,3231.21
CUST_0019,David Jarvis,eadams@example.net,West,SMB,2023-09-27,0,473.51
CUST_0020,Elijah Day,douglas61@example.com,East,Enterprise,2023-11-09,0,862.29
CUST_0021,Lori Jordan,jefffisher@example.net,North,Consumer,2024-07-19,0,695.06
CUST_0022,Ricardo Wilson,kruegercarl@example.org,South,Enterprise,2024-03-09,0,4691.8
CUST_0023,Zachary Wilkins,ygray@example.org,West,Consumer,2026-03-15,1,4772.57
CUST_0024,Christopher Flores,brownlinda@example.com,East,Enterprise,2024-01-19,1,423.31
CUST_0025,Nathan Nelson,guzmanjames@example.org,East,Enterprise,2025-12-20,1,3874.66
CUST_0026,Christopher Berger,carla39@example.org,South,Enterprise,2024-07-11,0,3816.39
CUST_0027,Tiffany Buck,ianderson@example.net,South,Enterprise,2025-08-29,0,1423.25
CUST_0028,Lee Mcbride,laura28@example.net,East,Enterprise,2024-03-08,0,976.96
CUST_0029,Mr. Jose Hall MD,schwartzsummer@example.net,North,Consumer,2024-05-21,1,3848.01
CUST_0030,Nicole Scott,csmith@example.net,North,Enterprise,2025-04-26,0,1753.9
CUST_0031,Lisa Gregory,zhenry@example.com,West,Enterprise,2025-10-12,1,2552.27
CUST_0032,Steven Coleman,cassandracampbell@example.com,North,Enterprise,2024-04-30,1,4192.44
CUST_0033,Norman Sanchez,john34@example.net,East,SMB,2024-07-22,0,2719.5
CUST_0034,Christopher Hernandez,mitchellwilliam@example.net,East,Consumer,2026-04-20,0,2602.82
